Country,Year,Area,SafeSanitization,Region
Armenia,2010,Total,48.14,Asia
Armenia,2010,Urban,45.48,Asia
Armenia,2009,Total,48.1,Asia
Armenia,2009,Urban,45.48,Asia
Armenia,2008,Total,48.05,Asia
Armenia,2008,Urban,45.47,Asia
Armenia,2007,Total,48.01,Asia
Armenia,2007,Urban,45.47,Asia
Armenia,2006,Total,47.97,Asia
Armenia,2006,Urban,45.46,Asia
Armenia,2005,Total,47.9,Asia
Armenia,2005,Urban,45.46,Asia
Armenia,2004,Total,47.8,Asia
Armenia,2004,Urban,45.45,Asia
Armenia,2003,Total,47.69,Asia
Armenia,2003,Urban,45.44,Asia
Armenia,2002,Total,47.59,Asia
Armenia,2002,Urban,45.43,Asia
Armenia,2001,Total,47.48,Asia
Armenia,2001,Urban,45.42,Asia
Armenia,2000,Total,47.37,Asia
Armenia,2000,Urban,45.41,Asia
Australia,2017,Total,75.64,Oceania
Australia,2016,Total,74.76,Oceania
Australia,2015,Total,73.88,Oceania
Australia,2014,Total,73.0,Oceania
Australia,2013,Total,72.12,Oceania
Australia,2012,Total,71.24,Oceania
Australia,2011,Total,70.37,Oceania
Australia,2010,Total,69.49,Oceania
Australia,2009,Total,68.61,Oceania
Australia,2008,Total,67.73,Oceania
Australia,2007,Total,66.85,Oceania
Australia,2006,Total,65.97,Oceania
Australia,2005,Total,65.09,Oceania
Australia,2004,Total,64.21,Oceania
Australia,2003,Total,64.21,Oceania
Australia,2002,Total,64.21,Oceania
Australia,2001,Total,64.21,Oceania
Australia,2000,Total,64.21,Oceania
Austria,2017,Total,96.75,Europe
Austria,2017,Urban,99.95,Europe
Austria,2017,Rural,92.3,Europe
Austria,2016,Total,96.73,Europe
Austria,2016,Urban,99.96,Europe
Austria,2016,Rural,92.3,Europe
Austria,2015,Total,96.72,Europe
Austria,2015,Urban,99.96,Europe
Austria,2015,Rural,92.3,Europe
Austria,2014,Total,96.71,Europe
Austria,2014,Urban,99.96,Europe
Austria,2014,Rural,92.3,Europe
Austria,2013,Total,96.7,Europe
Austria,2013,Urban,99.97,Europe
Austria,2013,Rural,92.3,Europe
Austria,2012,Total,96.68,Europe
Austria,2012,Urban,99.97,Europe
Austria,2012,Rural,92.3,Europe
Austria,2011,Total,96.68,Europe
Austria,2011,Urban,99.97,Europe
Austria,2011,Rural,92.3,Europe
Austria,2010,Total,96.71,Europe
Austria,2010,Urban,99.98,Europe
Austria,2010,Rural,92.3,Europe
Austria,2009,Total,96.73,Europe
Austria,2009,Urban,99.98,Europe
Austria,2009,Rural,92.3,Europe
Austria,2008,Total,96.75,Europe
Austria,2008,Urban,99.98,Europe
Austria,2008,Rural,92.3,Europe
Austria,2007,Total,96.78,Europe
Austria,2007,Urban,99.98,Europe
Austria,2007,Rural,92.3,Europe
Austria,2006,Total,96.8,Europe
Austria,2006,Urban,99.99,Europe
Austria,2006,Rural,92.3,Europe
Austria,2005,Total,96.82,Europe
Austria,2005,Urban,99.99,Europe
Austria,2005,Rural,92.3,Europe
Austria,2004,Total,96.85,Europe
Austria,2004,Urban,99.99,Europe
Austria,2004,Rural,92.3,Europe
Austria,2003,Total,96.87,Europe
Austria,2003,Urban,100.0,Europe
Austria,2003,Rural,92.3,Europe
Austria,2002,Total,96.89,Europe
Austria,2002,Urban,100.0,Europe
Austria,2002,Rural,92.3,Europe
Austria,2001,Total,96.92,Europe
Austria,2001,Urban,100.0,Europe
Austria,2001,Rural,92.3,Europe
Austria,2000,Total,96.94,Europe
Austria,2000,Urban,100.0,Europe
Austria,2000,Rural,92.3,Europe
Azerbaijan,2017,Urban,92.21,Asia
Azerbaijan,2016,Urban,92.29,Asia
Azerbaijan,2015,Urban,92.36,Asia
Azerbaijan,2014,Urban,91.56,Asia
Azerbaijan,2013,Urban,90.63,Asia
Azerbaijan,2012,Urban,88.65,Asia
Azerbaijan,2011,Urban,86.69,Asia
Azerbaijan,2010,Urban,84.75,Asia
Azerbaijan,2009,Urban,82.84,Asia
Azerbaijan,2008,Urban,80.95,Asia
Azerbaijan,2007,Urban,79.08,Asia
Azerbaijan,2006,Urban,77.23,Asia
Azerbaijan,2005,Urban,75.4,Asia
Azerbaijan,2004,Urban,73.6,Asia
Azerbaijan,2003,Urban,72.76,Asia
Azerbaijan,2002,Urban,71.92,Asia
Azerbaijan,2001,Urban,71.07,Asia
Azerbaijan,2000,Urban,70.23,Asia
Bahrain,2017,Total,96.0,Asia
Bahrain,2016,Total,96.0,Asia
Bahrain,2015,Total,96.0,Asia
Bahrain,2014,Total,96.0,Asia
Bahrain,2013,Total,96.0,Asia
Bahrain,2012,Total,96.0,Asia
Bahrain,2011,Total,96.0,Asia
Bahrain,2010,Total,95.99,Asia
Bahrain,2009,Total,95.98,Asia
Bahrain,2008,Total,95.96,Asia
Bahrain,2007,Total,95.95,Asia
Bahrain,2006,Total,95.94,Asia
Bahrain,2005,Total,95.92,Asia
Bahrain,2004,Total,95.91,Asia
Bahrain,2003,Total,95.89,Asia
Bahrain,2002,Total,95.88,Asia
Bahrain,2001,Total,95.87,Asia
Bahrain,2000,Total,95.85,Asia
Bangladesh,2017,Rural,32.34,Asia
Bangladesh,2016,Rural,31.25,Asia
Bangladesh,2015,Rural,30.03,Asia
Bangladesh,2014,Rural,28.82,Asia
Bangladesh,2013,Rural,27.62,Asia
Bangladesh,2012,Rural,26.44,Asia
Bangladesh,2011,Rural,25.27,Asia
Bangladesh,2010,Rural,24.12,Asia
Bangladesh,2009,Rural,22.98,Asia
Bangladesh,2008,Rural,21.86,Asia
Bangladesh,2007,Rural,20.75,Asia
Bangladesh,2006,Rural,19.65,Asia
Bangladesh,2005,Rural,18.57,Asia
Bangladesh,2004,Rural,17.5,Asia
Bangladesh,2003,Rural,16.57,Asia
Bangladesh,2002,Rural,15.64,Asia
Bangladesh,2001,Rural,14.71,Asia
Bangladesh,2000,Rural,13.79,Asia
Belarus,2017,Total,80.52,Europe
Belarus,2017,Urban,81.67,Europe
Belarus,2017,Rural,76.38,Europe
Belarus,2016,Total,80.39,Europe
Belarus,2016,Urban,81.47,Europe
Belarus,2016,Rural,76.62,Europe
Belarus,2015,Total,81.51,Europe
Belarus,2015,Urban,82.61,Europe
Belarus,2015,Rural,77.77,Europe
Belarus,2014,Total,82.62,Europe
Belarus,2014,Urban,83.75,Europe
Belarus,2014,Rural,78.9,Europe
Belarus,2013,Total,83.37,Europe
Belarus,2013,Urban,84.31,Europe
Belarus,2013,Rural,80.39,Europe
Belarus,2012,Total,84.11,Europe
Belarus,2012,Urban,84.83,Europe
Belarus,2012,Rural,81.86,Europe
Belarus,2011,Total,84.83,Europe
Belarus,2011,Urban,85.33,Europe
Belarus,2011,Rural,83.31,Europe
Belarus,2010,Total,85.53,Europe
Belarus,2010,Urban,85.81,Europe
Belarus,2010,Rural,84.73,Europe
Belarus,2009,Total,86.22,Europe
Belarus,2009,Urban,86.26,Europe
Belarus,2009,Rural,86.12,Europe
Belarus,2008,Total,86.9,Europe
Belarus,2008,Urban,86.69,Europe
Belarus,2008,Rural,87.48,Europe
Belarus,2007,Total,87.55,Europe
Belarus,2007,Urban,87.09,Europe
Belarus,2007,Rural,88.82,Europe
Belarus,2006,Total,88.19,Europe
Belarus,2006,Urban,87.47,Europe
Belarus,2006,Rural,90.13,Europe
Belarus,2005,Total,88.81,Europe
Belarus,2005,Urban,87.82,Europe
Belarus,2005,Rural,91.42,Europe
Belarus,2004,Total,89.42,Europe
Belarus,2004,Urban,88.15,Europe
Belarus,2004,Rural,92.68,Europe
Belarus,2003,Total,90.01,Europe
Belarus,2003,Urban,88.45,Europe
Belarus,2003,Rural,93.91,Europe
Belarus,2002,Total,90.04,Europe
Belarus,2002,Urban,88.45,Europe
Belarus,2002,Rural,93.91,Europe
Belarus,2001,Total,90.07,Europe
Belarus,2001,Urban,88.45,Europe
Belarus,2001,Rural,93.91,Europe
Belarus,2000,Total,90.09,Europe
Belarus,2000,Urban,88.45,Europe
Belarus,2000,Rural,93.91,Europe
Belgium,2017,Total,97.1,Europe
Belgium,2016,Total,97.1,Europe
Belgium,2015,Total,97.1,Europe
Belgium,2014,Total,94.83,Europe
Belgium,2013,Total,92.55,Europe
Belgium,2012,Total,91.61,Europe
Belgium,2011,Total,90.94,Europe
Belgium,2010,Total,90.27,Europe
Belgium,2009,Total,89.6,Europe
Belgium,2008,Total,88.93,Europe
Belgium,2007,Total,88.26,Europe
Belgium,2006,Total,87.59,Europe
Belgium,2005,Total,86.92,Europe
Belgium,2004,Total,86.25,Europe
Belgium,2003,Total,85.58,Europe
Belgium,2002,Total,85.57,Europe
Belgium,2001,Total,85.57,Europe
Belgium,2000,Total,85.57,Europe
Brazil,2017,Total,49.28,Americas
Brazil,2017,Urban,51.6,Americas
Brazil,2016,Total,47.04,Americas
Brazil,2016,Urban,49.26,Americas
Brazil,2015,Total,44.86,Americas
Brazil,2015,Urban,46.99,Americas
Brazil,2014,Total,42.74,Americas
Brazil,2014,Urban,44.78,Americas
Brazil,2013,Total,40.68,Americas
Brazil,2013,Urban,42.62,Americas
Brazil,2012,Total,38.68,Americas
Brazil,2012,Urban,40.53,Americas
Brazil,2011,Total,36.73,Americas
Brazil,2011,Urban,38.49,Americas
Brazil,2010,Total,34.85,Americas
Brazil,2010,Urban,36.51,Americas
Brazil,2009,Total,33.02,Americas
Brazil,2009,Urban,34.59,Americas
Brazil,2008,Total,31.25,Americas
Brazil,2008,Urban,32.72,Americas
Brazil,2007,Total,29.54,Americas
Brazil,2007,Urban,30.92,Americas
Brazil,2006,Total,27.88,Americas
Brazil,2006,Urban,29.17,Americas
Brazil,2005,Total,27.68,Americas
Brazil,2005,Urban,29.06,Americas
Brazil,2004,Total,27.47,Americas
Brazil,2004,Urban,28.96,Americas
Brazil,2003,Total,27.26,Americas
Brazil,2003,Urban,28.85,Americas
Brazil,2002,Total,27.04,Americas
Brazil,2002,Urban,28.74,Americas
Brazil,2001,Total,26.83,Americas
Brazil,2001,Urban,28.64,Americas
Brazil,2000,Total,26.6,Americas
Brazil,2000,Urban,28.53,Americas
Bulgaria,2017,Total,64.41,Europe
Bulgaria,2017,Urban,72.89,Europe
Bulgaria,2016,Total,62.45,Europe
Bulgaria,2016,Urban,70.86,Europe
Bulgaria,2015,Total,60.51,Europe
Bulgaria,2015,Urban,68.82,Europe
Bulgaria,2014,Total,58.6,Europe
Bulgaria,2014,Urban,66.78,Europe
Bulgaria,2013,Total,56.7,Europe
Bulgaria,2013,Urban,64.75,Europe
Bulgaria,2012,Total,54.84,Europe
Bulgaria,2012,Urban,62.77,Europe
Bulgaria,2011,Total,52.99,Europe
Bulgaria,2011,Urban,60.8,Europe
Bulgaria,2010,Total,51.17,Europe
Bulgaria,2010,Urban,58.84,Europe
Bulgaria,2009,Total,49.37,Europe
Bulgaria,2009,Urban,56.89,Europe
Bulgaria,2008,Total,47.59,Europe
Bulgaria,2008,Urban,54.95,Europe
Bulgaria,2007,Total,47.59,Europe
Bulgaria,2007,Urban,55.03,Europe
Bulgaria,2006,Total,47.58,Europe
Bulgaria,2006,Urban,55.11,Europe
Bulgaria,2005,Total,47.57,Europe
Bulgaria,2005,Urban,55.18,Europe
Bulgaria,2004,Total,47.65,Europe
Bulgaria,2004,Urban,55.26,Europe
Bulgaria,2003,Total,47.76,Europe
Bulgaria,2003,Urban,55.34,Europe
Bulgaria,2002,Total,47.87,Europe
Bulgaria,2002,Urban,55.41,Europe
Bulgaria,2001,Total,47.99,Europe
Bulgaria,2001,Urban,55.49,Europe
Bulgaria,2000,Total,48.09,Europe
Bulgaria,2000,Urban,55.57,Europe
Canada,2017,Total,82.32,Americas
Canada,2017,Urban,82.45,Americas
Canada,2017,Rural,81.74,Americas
Canada,2016,Total,82.36,Americas
Canada,2016,Urban,82.49,Americas
Canada,2016,Rural,81.82,Americas
Canada,2015,Total,82.41,Americas
Canada,2015,Urban,82.53,Americas
Canada,2015,Rural,81.9,Americas
Canada,2014,Total,82.46,Americas
Canada,2014,Urban,82.57,Americas
Canada,2014,Rural,81.98,Americas
Canada,2013,Total,82.51,Americas
Canada,2013,Urban,82.61,Americas
Canada,2013,Rural,82.06,Americas
Canada,2012,Total,82.55,Americas
Canada,2012,Urban,82.65,Americas
Canada,2012,Rural,82.14,Americas
Canada,2011,Total,82.6,Americas
Canada,2011,Urban,82.69,Americas
Canada,2011,Rural,82.21,Americas
Canada,2010,Total,81.97,Americas
Canada,2010,Urban,82.05,Americas
Canada,2010,Rural,81.63,Americas
Canada,2009,Total,81.34,Americas
Canada,2009,Urban,81.41,Americas
Canada,2009,Rural,81.04,Americas
Canada,2008,Total,80.7,Americas
Canada,2008,Urban,80.77,Americas
Canada,2008,Rural,80.45,Americas
Canada,2007,Total,80.07,Americas
Canada,2007,Urban,80.12,Americas
Canada,2007,Rural,79.85,Americas
Canada,2006,Total,79.44,Americas
Canada,2006,Urban,79.48,Americas
Canada,2006,Rural,79.26,Americas
Canada,2005,Total,78.8,Americas
Canada,2005,Urban,78.84,Americas
Canada,2005,Rural,78.66,Americas
Canada,2004,Total,78.16,Americas
Canada,2004,Urban,78.19,Americas
Canada,2004,Rural,78.03,Americas
Canada,2003,Total,77.48,Americas
Canada,2003,Urban,77.51,Americas
Canada,2003,Rural,77.37,Americas
Canada,2002,Total,76.8,Americas
Canada,2002,Urban,76.82,Americas
Canada,2002,Rural,76.7,Americas
Canada,2001,Total,76.8,Americas
Canada,2001,Urban,76.82,Americas
Canada,2001,Rural,76.7,Americas
Canada,2000,Total,76.8,Americas
Canada,2000,Urban,76.82,Americas
Canada,2000,Rural,76.7,Americas
Chile,2017,Total,77.46,Americas
Chile,2017,Urban,81.37,Americas
Chile,2016,Total,75.63,Americas
Chile,2016,Urban,81.25,Americas
Chile,2015,Total,73.59,Americas
Chile,2015,Urban,81.06,Americas
Chile,2014,Total,71.55,Americas
Chile,2014,Urban,78.23,Americas
Chile,2013,Total,69.46,Americas
Chile,2013,Urban,75.34,Americas
Chile,2012,Total,67.36,Americas
Chile,2012,Urban,72.43,Americas
Chile,2011,Total,65.27,Americas
Chile,2011,Urban,69.54,Americas
Chile,2010,Total,63.2,Americas
Chile,2010,Urban,66.67,Americas
Chile,2009,Total,61.15,Americas
Chile,2009,Urban,63.82,Americas
Chile,2008,Total,59.11,Americas
Chile,2008,Urban,60.98,Americas
Chile,2007,Total,57.09,Americas
Chile,2007,Urban,58.17,Americas
Chile,2006,Total,55.08,Americas
Chile,2006,Urban,55.38,Americas
Chile,2005,Total,53.09,Americas
Chile,2005,Urban,52.6,Americas
Chile,2004,Total,51.12,Americas
Chile,2004,Urban,49.85,Americas
Chile,2003,Total,49.17,Americas
Chile,2003,Urban,47.11,Americas
Chile,2002,Total,48.96,Americas
Chile,2002,Urban,46.98,Americas
Chile,2001,Total,48.73,Americas
Chile,2001,Urban,46.86,Americas
Chile,2000,Total,48.5,Americas
Chile,2000,Urban,46.74,Americas
China,2017,Total,72.08,Asia
China,2017,Urban,83.7,Asia
China,2017,Rural,56.07,Asia
China,2016,Total,68.25,Asia
China,2016,Urban,79.97,Asia
China,2016,Rural,52.88,Asia
China,2015,Total,64.51,Asia
China,2015,Urban,76.26,Asia
China,2015,Rural,49.85,Asia
China,2014,Total,60.87,Asia
China,2014,Urban,72.61,Asia
China,2014,Rural,46.94,Asia
China,2013,Total,57.34,Asia
China,2013,Urban,68.99,Asia
China,2013,Rural,44.19,Asia
China,2012,Total,53.93,Asia
China,2012,Urban,65.41,Asia
China,2012,Rural,41.6,Asia
China,2011,Total,50.69,Asia
China,2011,Urban,61.85,Asia
China,2011,Rural,39.29,Asia
China,2010,Total,47.56,Asia
China,2010,Urban,58.32,Asia
China,2010,Rural,37.13,Asia
China,2009,Total,44.55,Asia
China,2009,Urban,54.81,Asia
China,2009,Rural,35.12,Asia
China,2008,Total,41.67,Asia
China,2008,Urban,51.33,Asia
China,2008,Rural,33.26,Asia
China,2007,Total,38.93,Asia
China,2007,Urban,47.87,Asia
China,2007,Rural,31.56,Asia
China,2006,Total,36.33,Asia
China,2006,Urban,44.43,Asia
China,2006,Rural,30.01,Asia
China,2005,Total,33.89,Asia
China,2005,Urban,40.96,Asia
China,2005,Rural,28.66,Asia
China,2004,Total,31.6,Asia
China,2004,Urban,37.5,Asia
China,2004,Rural,27.47,Asia
China,2003,Total,29.48,Asia
China,2003,Urban,34.07,Asia
China,2003,Rural,26.44,Asia
China,2002,Total,27.53,Asia
China,2002,Urban,30.65,Asia
China,2002,Rural,25.58,Asia
China,2001,Total,26.8,Asia
China,2001,Urban,30.03,Asia
China,2001,Rural,24.9,Asia
China,2000,Total,26.56,Asia
China,2000,Urban,29.4,Asia
China,2000,Rural,24.97,Asia
Colombia,2017,Total,16.99,Americas
Colombia,2017,Urban,15.83,Americas
Colombia,2016,Total,16.79,Americas
Colombia,2016,Urban,15.7,Americas
Colombia,2015,Total,16.59,Americas
Colombia,2015,Urban,15.56,Americas
Colombia,2014,Total,16.4,Americas
Colombia,2014,Urban,15.43,Americas
Colombia,2013,Total,16.2,Americas
Colombia,2013,Urban,15.29,Americas
Colombia,2012,Total,16.0,Americas
Colombia,2012,Urban,15.16,Americas
Colombia,2011,Total,15.79,Americas
Colombia,2011,Urban,15.03,Americas
Colombia,2010,Total,15.59,Americas
Colombia,2010,Urban,14.89,Americas
Colombia,2009,Total,15.39,Americas
Colombia,2009,Urban,14.76,Americas
Colombia,2008,Total,15.18,Americas
Colombia,2008,Urban,14.63,Americas
Colombia,2007,Total,14.97,Americas
Colombia,2007,Urban,14.5,Americas
Colombia,2006,Total,14.76,Americas
Colombia,2006,Urban,14.37,Americas
Colombia,2005,Total,14.55,Americas
Colombia,2005,Urban,14.24,Americas
Colombia,2004,Total,14.34,Americas
Colombia,2004,Urban,14.11,Americas
Colombia,2003,Total,14.12,Americas
Colombia,2003,Urban,13.98,Americas
Colombia,2002,Total,13.91,Americas
Colombia,2002,Urban,13.85,Americas
Colombia,2001,Total,13.69,Americas
Colombia,2001,Urban,13.72,Americas
Colombia,2000,Total,13.47,Americas
Colombia,2000,Urban,13.59,Americas
Croatia,2017,Total,58.5,Europe
Croatia,2017,Urban,64.27,Europe
Croatia,2016,Total,58.45,Europe
Croatia,2016,Urban,64.25,Europe
Croatia,2015,Total,58.4,Europe
Croatia,2015,Urban,64.24,Europe
Croatia,2014,Total,58.35,Europe
Croatia,2014,Urban,64.22,Europe
Croatia,2013,Total,58.31,Europe
Croatia,2013,Urban,64.2,Europe
Croatia,2012,Total,58.27,Europe
Croatia,2012,Urban,64.19,Europe
Croatia,2011,Total,58.23,Europe
Croatia,2011,Urban,64.17,Europe
Croatia,2010,Total,58.19,Europe
Croatia,2010,Urban,64.16,Europe
Croatia,2009,Total,58.15,Europe
Croatia,2009,Urban,64.14,Europe
Croatia,2008,Total,58.12,Europe
Croatia,2008,Urban,64.12,Europe
Croatia,2007,Total,58.08,Europe
Croatia,2007,Urban,64.11,Europe
Croatia,2006,Total,58.04,Europe
Croatia,2006,Urban,64.09,Europe
Croatia,2005,Total,58.0,Europe
Croatia,2005,Urban,64.07,Europe
Croatia,2004,Total,57.97,Europe
Croatia,2004,Urban,64.06,Europe
Croatia,2003,Total,57.93,Europe
Croatia,2003,Urban,64.04,Europe
Croatia,2002,Total,57.89,Europe
Croatia,2002,Urban,64.03,Europe
Croatia,2001,Total,57.86,Europe
Croatia,2001,Urban,64.01,Europe
Croatia,2000,Total,57.83,Europe
Croatia,2000,Urban,64.01,Europe
Cuba,2017,Total,44.34,Americas
Cuba,2017,Urban,41.87,Americas
Cuba,2016,Total,43.56,Americas
Cuba,2016,Urban,41.03,Americas
Cuba,2015,Total,42.69,Americas
Cuba,2015,Urban,40.2,Americas
Cuba,2014,Total,41.8,Americas
Cuba,2014,Urban,39.38,Americas
Cuba,2013,Total,40.93,Americas
Cuba,2013,Urban,38.57,Americas
Cuba,2012,Total,40.07,Americas
Cuba,2012,Urban,37.78,Americas
Cuba,2011,Total,39.23,Americas
Cuba,2011,Urban,37.0,Americas
Cuba,2010,Total,38.41,Americas
Cuba,2010,Urban,36.23,Americas
Cuba,2009,Total,37.6,Americas
Cuba,2009,Urban,35.48,Americas
Cuba,2008,Total,36.81,Americas
Cuba,2008,Urban,34.74,Americas
Cuba,2007,Total,36.03,Americas
Cuba,2007,Urban,34.01,Americas
Cuba,2006,Total,35.26,Americas
Cuba,2006,Urban,33.3,Americas
Cuba,2005,Total,34.52,Americas
Cuba,2005,Urban,32.6,Americas
Cuba,2004,Total,33.78,Americas
Cuba,2004,Urban,31.91,Americas
Cuba,2003,Total,33.73,Americas
Cuba,2003,Urban,31.93,Americas
Cuba,2002,Total,33.68,Americas
Cuba,2002,Urban,31.96,Americas
Cuba,2001,Total,33.63,Americas
Cuba,2001,Urban,31.98,Americas
Cuba,2000,Total,33.58,Americas
Cuba,2000,Urban,32.01,Americas
Cyprus,2017,Total,75.46,Asia
Cyprus,2017,Urban,86.27,Asia
